OBJECTID,ID,ADDRESS,TERMINAL_NUMBER,LATITUDE,LONGITUDE,INSTALLED,LOCKED,INSTALL_DATE,REMOVAL_DATE,TEMPORARY_INSTALL,NUMBER_OF_BIKES,NUMBER_OF_EMPTY_DOCKS,X,Y,SE_ANNO_CAD_DATA,OWNER
292430947,338,Potomac Greens Dr & Slaters Ln,31083,38.82175,-77.047494,YES,NO,,,NO,1,10,395875.6679074,128220.0552696,,
292430948,339,Ballenger Ave & Dulaney St,31084,38.802677,-77.063562,YES,NO,,,NO,10,9,394478.86466732,126103.67942378,,
292430949,340,Mount Vernon Ave & E Nelson Ave,31085,38.820064,-77.057619,YES,NO,,,NO,3,8,394996.30487652,128033.40446264,,
292430950,341,Mount Vernon Ave & E Del Ray Ave,31086,38.82595,-77.058541,YES,NO,,,NO,7,8,394916.65642773,128686.84003154,,
292430951,342,Monroe Ave & Leslie Ave,31087,38.820932,-77.053096,YES,NO,,,NO,5,10,395389.14299363,128129.51994126,,
292430952,343,Mount Vernon Ave & Kennedy St,31088,38.833077,-77.059821,YES,NO,,,NO,13,2,394806.02748043,129478.05665833,,
292430953,344,Court House Metro / 15th St & N Uhle St,31089,38.890612,-77.084801,YES,NO,,,NO,15,5,392643.06650429,135866.57615407,,
292430954,345,WAU / Flower Ave & Division St,32049,38.986743,-77.000035,YES,NO,,,NO,11,4,399996.96765659,146534.54829125,,
292430955,346,Long Bridge Park / Long Bridge Dr & 6th St S,31090,38.865553,-77.05003,YES,NO,,,NO,5,10,395658.10901485,133082.6096937,,
292430956,347,Connecticut Ave & McKinley St NW,31315,38.964544,-77.075135,YES,NO,,,NO,11,8,393488.39756667,144072.9254812,,DC
292430957,348,15th & L St NW,31276,38.90366,-77.034846,YES,NO,,,NO,4,19,396977.47844927,137312.16782257,,DC
292430958,349,17th & G St NW,31277,38.8983,-77.039732,YES,NO,,,NO,9,22,396553.41074085,136717.33792365,,DC
292430959,350,Spring St & 2nd Ave,32050,38.997653,-77.034499,YES,NO,,,NO,14,1,397011.52018405,147746.23200566,,
292430960,351,18th & R St NW,31278,38.912648,-77.041834,YES,NO,,,NO,12,6,396371.80070351,138310.16380231,,DC
292430961,352,Joyce St & 16th St S,31091,38.859254,-77.063275,YES,NO,,,NO,3,11,394508.14728183,132384.08827775,,
292430962,353,Union Market,31517,38.907908,-76.99707,YES,NO,,,NO,17,6,400254.13134801,137783.15757588,,DC
292430963,354,Lee Hwy & N Monroe St,31092,38.896456,-77.104562,YES,NO,,,NO,4,11,390929.4393853,136517.08391716,,
292430964,355,21st St & N Pierce St,31093,38.898984,-77.078317,YES,NO,,,NO,8,7,393206.38482175,136795.43149257,,
292430965,356,Lee Hwy & N Kirkwood Rd,31094,38.895377,-77.09713,YES,NO,,,NO,14,1,391574.02398088,136396.59421225,,
292430966,357,19th & G St NW,31279,38.898412,-77.043182,YES,NO,,,NO,7,15,396254.14318763,136729.90672594,,DC
292430967,358,2nd St & Seaton Pl NE,31522,38.914751,-77.00356,YES,NO,,,NO,2,17,399691.25569893,138542.7889275,,DC
292430968,359,Wilson Blvd & N Illinois St,31902,38.876528,-77.12712,YES,NO,,,NO,11,3,388969.49519692,134307.40677263,,
292430969,364,Army Navy Dr & S Nash St,31095,38.86215,-77.068121,YES,NO,,,NO,6,5,394087.78640669,132705.86791113,,
292430970,365,31st & Water St NW,31293,38.902814,-77.061043,YES,NO,,,NO,8,11,394705.10354113,137219.4484204,,DC
292430971,367,11th & S St NW,31280,38.913761,-77.027025,YES,NO,,,NO,17,5,397656.19931508,138433.23161638,,DC
292430972,368,Walter Reed Dr & 8th St S,31096,38.86612,-77.08787,YES,NO,,,NO,7,8,392374.19768093,133148.03121274,,
292430973,369,2nd & G St NE,31639,38.89967,-77.003666,YES,NO,,,NO,8,14,399681.99552091,136868.67522408,,DC
